student_idx,predicted_probability,feature,shap_contribution,rank
604064,0.6896328330039978,STAFFSHORT,0.18354031235245657,6
604064,0.6896328330039978,FAMSUP,0.17592833417877954,7
604064,0.6896328330039978,PAREDINT,0.17280070756089116,8
604064,0.6896328330039978,STUBEHA,0.15794275966556598,9
604064,0.6896328330039978,ICTSUBJ,0.15086906928814642,10
281735,0.8839770555496216,HISEI,0.6319223652745132,1
281735,0.8839770555496216,STUBEHA,0.4844828588683413,2
281735,0.8839770555496216,COGACMCO,0.3433274245649864,3
281735,0.8839770555496216,EDUSHORT,0.34313770853832465,4
281735,0.8839770555496216,FAMSUP,0.325064910568617,5
281735,0.8839770555496216,SCHRISK,0.3032236743850808,6
281735,0.8839770555496216,ANXMAT,0.29495812463614585,7
281735,0.8839770555496216,STAFFSHORT,0.22664065839953765,8
281735,0.8839770555496216,MATHPERS,0.22622039272366237,9
281735,0.8839770555496216,ESCS,0.17322982411516932,10
573761,0.8969452977180481,MATHEFF,0.7461977999524333,1
573761,0.8969452977180481,HOMEPOS,0.5669893170267096,2
573761,0.8969452977180481,ANXMAT,0.37698922126031903,3
573761,0.8969452977180481,TEACHSUP,0.24071277759085205,4
573761,0.8969452977180481,ST004D01T,0.2231753533000301,5
573761,0.8969452977180481,FAMSUP,0.21644202963476344,6
573761,0.8969452977180481,STUBEHA,0.21623574956058064,7
573761,0.8969452977180481,STUDYHMW,0.14680413507208867,8
573761,0.8969452977180481,ESCS,0.13335929379427397,9
573761,0.8969452977180481,ICTHOME,0.12007232640982693,10
380859,0.9768539071083069,FAMCON,1.0830448531087178,1
380859,0.9768539071083069,HOMEPOS,1.0806892686503853,2
380859,0.9768539071083069,ICTRES,0.7230578718098241,3
380859,0.9768539071083069,MATHEFF,0.6237270431697834,4
380859,0.9768539071083069,ICTEFFIC,0.4533350657834944,5
380859,0.9768539071083069,ST004D01T,0.34255771569140053,6
380859,0.9768539071083069,MATHPERS,0.32073887673275747,7
380859,0.9768539071083069,ANXMAT,0.3049508282325678,8
380859,0.9768539071083069,STUDYHMW,0.2550889944183291,9
380859,0.9768539071083069,FAMSUP,0.17355199819796327,10
49696,0.590086817741394,GRADE,0.6771678965440696,1
49696,0.590086817741394,EDUSHORT,0.33834285061060654,2
49696,0.590086817741394,STUBEHA,0.3209678631766292,3
49696,0.590086817741394,HISEI,0.3193349481913719,4
49696,0.590086817741394,ICTSUBJ,0.30380703876789994,5
49696,0.590086817741394,SCHRISK,0.29753271354258687,6
49696,0.590086817741394,MATHEFF,0.22213636293669878,7
49696,0.590086817741394,PAREDINT,0.1313491678819264,8
49696,0.590086817741394,ESCS,0.1209575731255427,9
49696,0.590086817741394,TEACHBEHA,0.09832195172687079,10
61898,0.9927031993865967,ICTRES,0.8934926414899838,1
61898,0.9927031993865967,HOMEPOS,0.8691413941875726,2
61898,0.9927031993865967,GRADE,0.7401537663700947,3
61898,0.9927031993865967,BELONG,0.47968450834154736,4
61898,0.9927031993865967,FAMCON,0.29898672230873674,5
61898,0.9927031993865967,IMMIG,0.2697791747749216,6
61898,0.9927031993865967,STUBEHA,0.24911533508910907,7
61898,0.9927031993865967,EDUSHORT,0.2468191251920871,8
61898,0.9927031993865967,HISEI,0.24000667978571982,9
61898,0.9927031993865967,BULLIED,0.22388688418983294,10
248909,0.7658318877220154,COGACMCO,0.3434144205246048,1
248909,0.7658318877220154,HISEI,0.30953714448532993,2
248909,0.7658318877220154,MATHEFF,0.2371758107716414,3
248909,0.7658318877220154,ICTRES,0.23305035863315424,4
248909,0.7658318877220154,STUDYHMW,0.20331363087625504,5
248909,0.7658318877220154,FAMCON,0.19135058574116556,6
248909,0.7658318877220154,BELONG,0.17935410000483898,7
248909,0.7658318877220154,TEACHSUP,0.10970461712913675,8
248909,0.7658318877220154,ESCS,0.09844186095200712,9
248909,0.7658318877220154,STAFFSHORT,0.09646267568454277,10
257763,0.7190939784049988,BELONG,0.6767078374556331,1
257763,0.7190939784049988,MATHEFF,0.6187332016441451,2
257763,0.7190939784049988,MATHPERS,0.45362195942598194,3
257763,0.7190939784049988,ICTSUBJ,0.4389031556910686,4
